Číslo aktivity,ČVS,Rok zaevidovania,Rok aktivity,Druh aktivity,Katastrálne územie,Obec,Poloha,Okres,Vedúci výskumu,Autor - NS,Inštitúcia,Číslo akcie,Datovanie - NS,Datovanie - CEANS,Druh náleziska - pôvodná hodnota,Datovanie-druh náleziska,Stupeň lokalizácie,Existuje GIS väzba,Súradnica X,Súradnica Y,Malá/veľká
č.a. 31270,21043,2024,2020,nálezová správa - externá,Nové Zámky,Nové Zámky,"IBV Riverside, p.č. 304/1,2,26",Nové Zámky,Repka D.,"KA FF UKF NR, Šimunková K., Repka D.",KA FF UKF NR,,negatívne,negatívne,,,1,1,-1303842.076,-495510.2445,malá
č.a. 31272,21044,2024,2023,nálezová správa - externá,Topoľčany,Topoľčany,"Kulturpark, p.č. 304/1,2,26",Topoľčany,Steiner P.,"KA FF UKF NR, Steiner P., Wiedwrmann E.",KA FF UKF NR,,negatívne,negatívne,,,1,1,-1242341.391,-490843.519,malá
č.a. 31271,21045,2024,2011-2018,nálezová správa - externá,Ostrá Lúka,Ostrá Lúka,"Hrad Peťuša, p.č. 1409",Zvolen,Beljak Pažinová N.,"KA FF UKF NR, Beljak Pažinová N.",KA FF UKF NR,,Stredovek-vrcholný,ST-vr,sídlisko opevnené,Stredovek - vrcholný - sídlisko opevnené,1,1,-1248141.301,-424228.8292,veľká
č.a. 31273,21046,2024,2022,nálezová správa - externá,Chotín,Chotín,"INS FTTH Transport KOMA 03, Pri hradskej, p.č. 5415, 5449, 5479-5482",Komárno,Gereová M.,"ARCHAEOJEDI, s.r.o., Gereová M., Žundálek I.","ARCHAEOJEDI, s.r.o.",,"Neolit-želiezovská, Eneolit-badenská, Doba rímska-rímskobarbarská, Stredovek, Novovek","NE-ze, EN-ba, RI-rb, ST, NV",sídlisko,"Neolit - želiezovská - sídlisko, Eneolit - badenská - sídlisko, Doba rímska - rímskobarbarská - sídlisko,  Stredovek - sídlisko, Novovek - sídlisko",1,1,-1327479.365,-492255.8709,malá
č.a. 31274,21046,2024,2022,nálezová správa - externá,Krátke Kesy,Marcelová,"INS FTTH Transport KOMA 03, Nad chotínskou cestou, p.č. 1877/2",Komárno,Gereová M.,"ARCHAEOJEDI, s.r.o., Gereová M., Žundálek I.","ARCHAEOJEDI, s.r.o.",,Eneolit-badenská,EN-ba,sídlisko,Eneolit - badenská - sídlisko,1,1,-1325645.961,-495435.6034,malá
č.a. 31275,21047,2024,"2022, 2023",nálezová správa - externá,Beckov,Beckov,"Hrad Beckov, obnova západného paláca a západnej bašty",Nové Mesto nad Váhom,Žaár O.,"Pamarch s.r.o, Žaár O., Žaárová Ľ.",Pamarch s.r.o.,,"Stredovek, Novovek","ST, NV-16, NV-17, NV-18",sídlisko opevnené,"Stredovek - sídlisko opevnené, Novovek - 16. storočie - sídlisko opevnené, Novovek - 17. storočie - sídlisko opevnené, Novovek - 18. storočie - sídlisko opevnené",1,1,-1214851.043,-508666.4803,veľká
č.a. 31276,21048,2024,2023,nálezová správa - externá,Dolné Sľažany,Sľažany,"RD, Farská ul., p.č. 30/13",Zlaté Moravce,Iván R.,"Pamarch s.r.o., Iván R.",Pamarch s.r.o.,,negatívne,negatívne,,,1,1,-1262272.218,-481263.2928,malá
č.a. 31277,21049,2024,"2019, 2020, 2021, 2022, 2023",nálezová správa - externá,Andač,Zbehy,"Kostol Narodenia Panny Márie, p.č. 45/11, 45/12, 75/1, 75/3",Nitra,Iván R.,"Pamarch s.r.o., Iván R.",Pamarch s.r.o.,,negatívne,negatívne,,,1,1,-1261612.652,-507072.6061,malá
č.a. 31278,21050,2024,2023,nálezová správa - externá,Komárno,Komárno,"Obchodné centrum, Eötvösova ulica, p.č. 2454/8,69,70,83,84,86,88,  2464/1,3",Komárno,Ölvecky R.,"Pamarch s.r.o., Ölvecky R.",Pamarch s.r.o.,,"Stredovek-neskorý, Novovek","ST-ne, NV-16, NV-17, NV-18, NV-19",sídlisko,"Stredovek - neskorý - sídlisko, Novovek - 16. storočie - sídlisko, Novovek - 17. storočie - sídlisko, Novovek - 18. storočie - sídlisko, Novovek - 19. storočie - sídlisko",1,1,-1330410.477,-502385.7599,malá
č.a. 31279,21051,2024,2023,nálezová správa - externá,Dunajská Streda,Dunajská Streda,"Rozšírenie areálu Metrans /Danubia, a.s., p.č. 1962/4,5, 1963/308,495,848",Dunajská Streda,Ölvecky R.,"Pamarch s.r.o., Ölvecky R.",Pamarch s.r.o.,,"Pravek, Doba rímska, Novovek","PK, RI, NV",neurčiteľné,"Pravek - neurčiteľné, Doba rímska - neurčiteľné, Novovek - neurčiteľné",1,1,-1302656.739,-537312.6165,malá
č.a. 31280,21052,2024,2023,nálezová správa - externá,Križovany nad Dudváhom,Križovany nad Dudváhom,"IBV Križovany nad Dudváhom B lokalita: PANSKÉ TABLY, etapa 1. 10 RD, p.č. 2288/72,75,28, 124, 2288/424",Trnava,Iván R.,"Pamarch s.r.o., Iván R.",Pamarch s.r.o.,,negatívne,negatívne,,,1,1,-1265663.096,-531647.0069,malá
č.a. 31281,21053,2024,2023,nálezová správa - externá,Želiezovce,Želiezovce,"Novostavba haly drevovýroby, Letná ul., p.č. 2401/7",Levice,Iván R.,"Pamarch s.r.o., Iván R.",Pamarch s.r.o.,,negatívne,negatívne,,,1,1,-1302701.962,-460349.5543,malá
č.a. 31282,21054,2024,2023,nálezová správa - externá,Lužianky,Lužianky,"West park Lužianky – technická infraštruktúra, Squarebizz Nitra, Vedľa Kapitulského, ulica Čerešňová a Lipová, p.č. 2073/11,48",Nitra,Žaár O.,"Pamarch s.r.o, Žaár O., Žaárová Ľ.",Pamarch s.r.o.,,Novovek,"NV-19, NV-20",sídlisko,"Novovek - 19. storočie - sídlisko, Novovek - 20. storočie - sídlisko",1,1,-1267441.088,-504100.451,malá
č.a. 31283,21055,2024,2021,nálezová správa - externá,Turčianske Jaseno,Turčianske Jaseno,"Galov diel, p.č. 1052/2, 1052/1, 516/1",Martin,Furman M.,"PÚ SR ZA, Furman M., Oporosková S., Benediková L., Both M.",PÚ SR ZA,,Novovek,NV,sídlisko opevnené,Novovek - sídlisko opevnené,1,1,-1196599.969,-423020.5519,malá
č.a. 31284,21055,2024,2021,nálezová správa - externá,Turčianske Jaseno,Turčianske Jaseno,"Tisové, p.č. 1048, 1049, 1050",Martin,Furman M.,"PÚ SR ZA, Furman M., Oporosková S., Benediková L., Both M.",PÚ SR ZA,,Doba laténska-púchovská,LT-pu,sídlisko opevnené,Doba laténska - púchovská - sídlisko opevnené,1,1,-1196520.507,-422091.4397,malá
č.a. 31285,21056,2024,"2022, 2023",nálezová správa - externá,Banská Štiavnica,Banská Štiavnica,"Vodárenska 42. RD kópia baníckeho domu, p.č. 3288, 3289",Banská Štiavnica,Kvietková V.,"Midland Adventure, s. r.o., Kvietok M., Kvietková V., Tomášik R.","Midland Adventure, s. r.o.",,Novovek,"NV-18, NV-19",sídlisko,"Novovek - 18. storočie - sídlisko, Novovek - 19. storočie - sídlisko",1,1,-1257279.093,-438786.6442,malá
č.a. 31286,21057,2024,"2022, 2023",nálezová správa - externá,Radvaň,Banská Bystrica,"RD s trojgarážou a skladom, p.č. 2848, 2849",Banská Bystrica,Molota T.,"Midland Adventure, s. r.o., Kvietok M., Pinter R., Tomášik R.","Midland Adventure, s. r.o.",,Novovek,NV-19,sídlisko,Novovek - 19. storočie - sídlisko,1,1,-1230513.774,-420359.1569,malá
č.a. 31287,21058,2024,"2022, 2023",nálezová správa - externá,Dolná Ždaňa,Dolná Ždaňa,Hlinické Pohronie – zásobovanie pitnou vodou obcí Horná a Dolná Ždaňa a Lovča,Žiar nad Hronom,Kvietok M.,"Midland Adventure, s. r.o., Kvietok M., Pinter R., Tomášik R.","Midland Adventure, s. r.o.",,negatívne,negatívne,,,1,1,-1246934.854,-447736.4056,malá
č.a. 31288,21059,2024,"2022, 2023",nálezová správa - externá,Rožňava,Rožňava,"Rekonštrukcia Šafárikovej ulice – II. etapa, p.č. 2226/1, 2236/2, 2222/1-3, 2223, 2224, 1/1, 1/2, 2226/4",Rožňava,Molota T.,"Midland Adventure, s. r.o., Kvietok M., Molota T.","Midland Adventure, s. r.o.",,Novovek,NV,sídlisko,Novovek - sídlisko,1,1,-1243503.288,-316518.1665,malá
č.a. 31289,21060,2024,2022,nálezová správa - externá,Špania Dolina,Špania Dolina,"Rekonštrukcia baníckeho domu, p.č. 206",Banská Bystrica,Kvietková V.,"Midland Adventure, s. r.o., Kvietok M., Kvietková V., Molota T.","Midland Adventure, s. r.o.",,Novovek,NV-17,sídlisko,Novovek - 17. storočie - sídlisko,1,1,-1220655.606,-418424.474,malá
č.a. 31290,21061,2024,2022,nálezová správa - externá,Dolná Strehová,Dolná Strehová,"Rekreačná chata, p.č. 1103/28-31",Veľký Krtíš,Kvietková V.,"Midland Adventure, s. r.o., Kvietok M., Kvietková V.","Midland Adventure, s. r.o.",,Pravek,PK,,Pravek - sídlisko,1,1,-1283064.654,-397358.7817,malá
